state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,annual_cost_of_living,median_family_income,col_index,metro_avg_cost,nonmetro_avg_cost,metro_premium
AK,10211.586206896553,3416.16823862069,10179.611420689655,6252.497131034483,4937.872853793104,0.0,5440.054324137931,40437.78972413793,79776.171875,1.0858,40423.4932,40439.43932307693,-15.946123076930235
AL,6414.950820895523,3275.5974985074627,10966.870205373134,5691.5363713432835,3511.26784119403,0.0,5672.986617313433,35533.20936716418,73010.4140625,0.9541,36572.7564,34739.870842105265,1832.8855578947332
AR,6077.4667584,3008.233088,11104.9119776,4821.90732,3292.1073648,0.0,5123.8432976,33428.47008,58720.07421875,0.8976,34257.81456,33126.89026909091,1130.92429090909
AZ,8341.042624,3146.4297759999995,11091.127648,5810.400096,4162.364256,0.0,5573.4533360000005,38124.81784,42365.81640625,1.0237,39016.4817,37105.773428571425,1910.7082714285716
CA,12793.102367586207,3736.476213103448,11771.155036551723,5686.360988275863,5989.318233103449,0.0,7949.333031724138,47925.74600689655,122820.71875,1.2868,51069.76572972973,42386.282685714286,8683.48304401544
CO,9675.563255625,3541.3221375,11906.83414125,4162.541073750001,4788.998788125,0.0,6422.12018625,40497.3795375,82814.546875,1.0874,43889.74609411765,39270.353336170214,4619.392757947433
CT,10921.27005,3748.01403,10441.33512,5222.74497,5315.260065,0.0,7024.429155,42673.053,121937.6484375,1.1458,42834.55714285715,41542.524,1292.0331428571517
DC,16642.2792,4492.42932,5660.73708,4933.47984,7657.93872,0.0,6929.51148,46316.376,116607.390625,1.2436,46316.376,,
DE,9748.1404,3472.20872,10149.49512,5689.47984,4790.2537999999995,0.0,6627.779399999999,40477.3564,72821.4765625,1.0868,40477.3564,,
FL,9123.819462089552,3458.788126567164,10343.896748059702,5398.049018507463,4559.174933731343,0.0,5024.055028656717,37907.78331940299,77956.6328125,1.0179,38454.83506363636,36861.24954782608,1593.5855158102786
GA,7310.006098113207,3179.551830188679,11048.333900377358,5138.607936603774,3800.780501132075,0.0,5897.82159245283,36375.10176603774,51470.68359375,0.9767,38336.99190810811,34667.10328941177,3669.8886186963427
HI,14180.570231999998,5079.905928,11411.694599999999,4650.340056,6978.830112000001,0.0,9944.491536,52245.83136,77351.8359375,1.4028,53137.624,50908.1424,2229.4816000000064
IA,6411.823626666666,3040.5405466666666,11247.013648484848,4873.557247272726,3424.9643054545454,0.0,5484.291958787879,34482.19127272727,75375.1953125,0.9259,34513.596,34473.736153846156,39.85984615384223
ID,6982.016154545455,3371.6799245454545,11943.899822727271,4999.902850909091,3751.5524045454545,0.0,5890.5882054545455,36939.639354545456,87161.1015625,0.9919,35750.99717142857,37494.33904,-1743.3418685714278
IL,6721.259676470588,2968.2013811764705,10807.721648235294,6232.478188235294,3510.8738552941177,0.0,5992.089114117647,36232.62388235294,70670.2734375,0.9729,37348.35258,35512.79891612903,1835.5536638709673
IN,6702.072026086956,2887.780861304348,10829.422986521738,4920.092551304348,3474.781905652174,0.0,5089.92019173913,33904.0705826087,67369.03125,0.9103,34458.108627272726,33396.202375,1061.9062522727254
KS,6676.404806857143,3141.686811428571,11407.684003428572,5749.266549714285,3557.4818079999995,0.0,5753.354374857143,36285.87841142857,60393.80078125,0.9743,36330.17330526315,36276.09233023256,54.080975030592526
KY,6164.304908,2879.097335,11172.407323,5060.274577,3276.781293,0.0,5572.627756,34125.49315,48017.46484375,0.9163,35175.200365714285,33693.260767058826,1481.9395986554591
LA,7450.295548125,3264.273856875,10820.35326375,5988.823535625,3882.311055,0.0,5672.567604375,37078.625175,58169.6953125,0.9956,37535.51808,36527.202703448274,1008.3153765517272
MA,14555.659234285715,4005.5395457142854,9958.567379999999,4438.034262857143,6725.454428571428,0.0,8296.086951428571,47979.34234285714,95838.8125,1.2883,46920.73843636364,51860.88999999999,-4940.151563636355
MD,11102.847915,3460.536635,10506.768030000001,3572.9194650000004,5276.888605,0.0,6697.68494,40617.645599999996,62822.24609375,1.0906,41680.5828631579,36578.484,5102.098863157902
ME,8236.7598975,3953.5712999999996,10956.8787675,5208.6674475,4417.0377450000005,0.0,6197.01396,38969.929125,69864.21875,1.0464,40680.56496,38192.36738181818,2488.1975781818255
MI,6910.969737831325,3121.5377595180726,10888.828237590362,4518.89670939759,3635.17313060241,0.0,5157.320674698795,34232.7261686747,52728.54296875,0.9192,34314.693,34195.337789473684,119.3552105263152
MN,6886.618375172415,3281.640259310345,11133.569666206897,4409.03272137931,3684.361088275862,0.0,5179.058449655173,34574.28041379311,62395.0859375,0.9283,37055.406533333335,33457.77366,3597.6328733333357
MO,6040.324524827586,2996.9802403448275,10956.25600137931,6021.00979137931,3274.571927586207,0.0,5208.997902413793,34498.14047586207,64729.05859375,0.9263,35105.727360000004,34235.602933333335,870.124426666669
MS,6616.653892682926,3192.2489575609757,11055.924390731707,5869.689144878048,3554.1523243902443,0.0,5545.9040341463415,35834.57256585366,40565.7890625,0.9622,36809.99272941176,35579.462676923074,1230.5300524886843
MT,7037.582663571428,3414.8985192857144,12059.163771428572,4941.414107142858,3787.3461707142856,0.0,6039.420816428572,37279.82607857143,72938.53125,1.001,35837.40407999999,37421.24,-1583.835920000005
NC,7688.5876416,3129.2415696,10957.537237199998,5586.147365999999,3919.726152,0.0,5961.7337112000005,37242.97386,66801.1953125,1.0,38046.38152173913,36558.589555555554,1487.7919661835767
ND,7276.175413584906,3414.1993743396224,12099.45302264151,4554.5382883018865,3873.544360754717,0.0,4929.92287018868,36147.83318490566,88849.203125,0.9706,34909.4964,36305.91873191489,-1396.4223319148878
NE,6063.006131612903,3184.382562580645,11714.20841548387,7097.427402580645,3350.6935858064517,0.0,5696.559305806451,37106.277535483874,72584.28125,0.9963,36061.12689230769,37276.114515,-1214.987622692308
NH,9474.402756,3773.433216,10881.701592000001,3840.4880160000002,4800.213444,0.0,4997.010192,37767.24948,87885.015625,1.0141,40236.1612,36709.14445714286,3527.016742857144
NJ,13184.014371428571,3697.9911714285713,9509.172125714285,4672.53996,6117.016405714286,0.0,6602.170005714285,43782.9036,80943.671875,1.1756,43782.9036,,
NM,7677.75768,3247.4143018181817,11089.399592727274,3965.4528763636367,3958.62068,0.0,5200.484090909091,35139.12952727273,69691.7109375,0.9435,33977.25942857143,35451.94070769231,-1474.6812791208795
NV,7242.548174117647,3478.718555294118,12132.040094117649,5894.7152258823535,3884.737778823529,0.0,4969.71314117647,37602.47272941176,68994.4921875,1.0097,36478.1454,37948.4196,-1470.2741999999998
NY,9977.351490967741,3384.2989412903225,10285.449930967743,5580.916794193548,4841.452900645161,0.0,6911.89041483871,40981.360412903225,97041.21875,1.1004,43234.28242105263,37414.2339,5820.048521052631
OH,6832.838731363637,2940.5227431818184,10576.740448636365,4567.929493636363,3541.274288181818,0.0,4654.815043636364,33114.12075,50041.33984375,0.8891,33014.09317894737,33190.141704,-176.0485250526326
OK,6791.343333506493,3189.744762077922,11523.926911168832,5608.44076987013,3616.5418503896103,0.0,5746.297326233766,36476.29517922078,44935.9609375,0.9794,36221.4084,36559.7925724138,-338.3841724137965
OR,8774.348633333335,3515.4383399999997,11494.2751,5101.955113333333,4453.07447,0.0,7538.423073333334,40877.514566666665,59848.5546875,1.0976,43716.43707692308,39272.90619130435,4443.530885618733
