origin_state,dest_state,n_returns,n_individuals,total_agi,avg_agi,flow_direction
GA,AL,8895,17200,603840,67885.0,inflow
FL,AL,8102,15094,545215,67294.0,inflow
TN,AL,4776,8923,336290,70412.0,inflow
TX,AL,3925,7799,286378,72963.0,inflow
MS,AL,3014,5669,170188,56466.0,inflow
CA,AL,2768,5422,253786,91686.0,inflow
NC,AL,1739,3381,125813,72348.0,inflow
VA,AL,1540,3274,150479,97714.0,inflow
LA,AL,1522,2930,121355,79734.0,inflow
IL,AL,1452,2770,113261,78003.0,inflow
CO,AL,1275,2474,108600,85176.0,inflow
NY,AL,1128,2035,73440,65106.0,inflow
OH,AL,1125,2090,72640,64569.0,inflow
SC,AL,1005,1939,70800,70448.0,inflow
WA,AL,925,1959,78258,84603.0,inflow
MI,AL,918,1691,53919,58735.0,inflow
IN,AL,889,1697,51170,57559.0,inflow
KY,AL,883,1754,53700,60815.0,inflow
AZ,AL,832,1664,62804,75486.0,inflow
MO,AL,797,1536,52462,65824.0,inflow
PA,AL,776,1472,55698,71776.0,inflow
MD,AL,697,1334,57408,82364.0,inflow
AR,AL,499,943,32419,64968.0,inflow
OK,AL,452,955,28538,63137.0,inflow
NV,AL,438,846,34626,79055.0,inflow
WI,AL,432,752,26309,60900.0,inflow
NJ,AL,414,765,32423,78316.0,inflow
KS,AL,402,863,26340,65522.0,inflow
OR,AL,336,635,20903,62211.0,inflow
MN,AL,334,608,29693,88901.0,inflow
MA,AL,322,559,26978,83783.0,inflow
UT,AL,319,709,27155,85125.0,inflow
IA,AL,307,607,20847,67906.0,inflow
NM,AL,259,549,20703,79934.0,inflow
HI,AL,248,593,16661,67181.0,inflow
AK,AL,233,518,17161,73652.0,inflow
CT,AL,228,422,22341,97987.0,inflow
NE,AL,180,396,14099,78328.0,inflow
ID,AL,171,394,9445,55234.0,inflow
WV,AL,169,329,10119,59876.0,inflow
MT,AL,125,256,8559,68472.0,inflow
NH,AL,114,240,9445,82851.0,inflow
ME,AL,108,200,5771,53435.0,inflow
DC,AL,108,146,10129,93787.0,inflow
ND,AL,104,213,8050,77404.0,inflow
WY,AL,98,201,6277,64051.0,inflow
DE,AL,89,187,7596,85348.0,inflow
SD,AL,71,125,3901,54944.0,inflow
RI,AL,62,109,5317,85758.0,inflow
VT,AL,48,79,2616,54500.0,inflow
WA,AK,1365,2444,103542,75855.0,inflow
CA,AK,1336,2296,90403,67667.0,inflow
TX,AK,1157,2379,82539,71339.0,inflow
FL,AK,715,1303,43641,61036.0,inflow
AZ,AK,637,1199,46025,72253.0,inflow
OR,AK,634,1070,38007,59948.0,inflow
CO,AK,618,1130,44001,71199.0,inflow
GA,AK,463,978,27339,59048.0,inflow
NC,AK,454,947,26757,58936.0,inflow
VA,AK,394,754,29879,75835.0,inflow
UT,AK,346,683,20796,60104.0,inflow
ID,AK,319,549,19011,59596.0,inflow
NV,AK,311,554,19775,63585.0,inflow
NY,AK,310,492,19561,63100.0,inflow
MT,AK,309,569,20272,65605.0,inflow
HI,AK,289,582,22163,76689.0,inflow
MN,AK,264,430,15826,59947.0,inflow
TN,AK,256,522,16117,62957.0,inflow
OH,AK,256,427,15782,61648.0,inflow
PA,AK,251,430,17385,69263.0,inflow
MI,AK,244,412,13739,56307.0,inflow
IL,AK,224,380,17071,76210.0,inflow
MO,AK,214,427,12822,59916.0,inflow
WI,AK,211,357,14361,68062.0,inflow
OK,AK,204,458,12425,60907.0,inflow
AL,AK,199,453,11162,56090.0,inflow
SC,AK,189,337,10316,54582.0,inflow
KS,AK,183,431,11860,64809.0,inflow
MD,AK,168,311,11723,69780.0,inflow
NM,AK,159,313,10315,64874.0,inflow
KY,AK,157,351,8958,57057.0,inflow
LA,AK,152,280,8586,56487.0,inflow
IN,AK,143,283,9807,68580.0,inflow
NJ,AK,119,185,6551,55050.0,inflow
AR,AK,104,205,5998,57673.0,inflow
MA,AK,103,151,6773,65757.0,inflow
WY,AK,100,191,7052,70520.0,inflow
MS,AK,90,157,4633,51478.0,inflow
ND,AK,90,164,5568,61867.0,inflow
IA,AK,80,122,4164,52050.0,inflow
SD,AK,74,151,5847,79014.0,inflow
NE,AK,70,135,4785,68357.0,inflow
CT,AK,69,105,3648,52870.0,inflow
ME,AK,60,104,3690,61500.0,inflow
WV,AK,51,108,2493,48882.0,inflow
NH,AK,49,83,2995,61122.0,inflow
VT,AK,41,55,2114,51561.0,inflow
DC,AK,26,37,2185,84038.0,inflow
DE,AK,26,45,2034,78231.0,inflow
RI,AK,24,38,1528,63667.0,inflow
CA,AZ,32864,57857,3299502,100399.0,inflow
WA,AZ,9204,16600,1068058,116043.0,inflow
TX,AZ,8008,14401,724601,90485.0,inflow
IL,AZ,6353,10558,746742,117542.0,inflow
CO,AZ,6230,10295,657465,105532.0,inflow
OR,AZ,4433,7549,484817,109365.0,inflow
NV,AZ,4333,7617,354512,81817.0,inflow
FL,AZ,4239,6837,381638,90030.0,inflow
NM,AZ,3254,5727,204483,62841.0,inflow
NY,AZ,3226,4964,299422,92815.0,inflow
MN,AZ,3171,5181,426823,134602.0,inflow
UT,AZ,3144,6065,271178,86253.0,inflow
MI,AZ,2799,4628,227705,81352.0,inflow
WI,AZ,2503,4181,199796,79823.0,inflow
OH,AZ,2475,3984,213670,86331.0,inflow
PA,AZ,2065,3292,215676,104444.0,inflow
GA,AZ,1887,3391,150223,79609.0,inflow
MO,AZ,1886,3075,163228,86547.0,inflow
IN,AZ,1868,3099,145514,77898.0,inflow
NC,AZ,1860,3390,131183,70528.0,inflow
VA,AZ,1837,3273,209568,114082.0,inflow
ID,AZ,1758,3331,132601,75427.0,inflow
IA,AZ,1430,2325,132879,92922.0,inflow
NJ,AZ,1423,2258,201904,141886.0,inflow
TN,AZ,1410,2435,109868,77921.0,inflow
MA,AZ,1233,1868,144217,116964.0,inflow
MT,AZ,1172,2037,103040,87918.0,inflow
NE,AZ,1126,1916,144028,127911.0,inflow
KS,AZ,1124,1943,114482,101852.0,inflow
HI,AZ,1055,1918,84228,79837.0,inflow
MD,AZ,1054,1737,97295,92310.0,inflow
AK,AZ,1013,1839,88176,87044.0,inflow
OK,AZ,957,1688,56071,58590.0,inflow
SD,AZ,846,1477,66000,78014.0,inflow
SC,AZ,825,1505,114107,138312.0,inflow
ND,AZ,694,1179,56410,81282.0,inflow
WY,AZ,655,1167,60310,92076.0,inflow
KY,AZ,643,1130,51644,80317.0,inflow
CT,AZ,632,933,99965,158172.0,inflow
LA,AZ,628,1071,38560,61401.0,inflow
AL,AZ,606,1121,42884,70766.0,inflow
AR,AZ,535,889,34819,65082.0,inflow
NH,AZ,333,527,36494,109592.0,inflow
MS,AZ,306,526,15679,51239.0,inflow
ME,AZ,293,468,23023,78577.0,inflow
RI,AZ,195,329,13705,70282.0,inflow
DE,AZ,182,309,18229,100159.0,inflow
WV,AZ,174,282,10251,58914.0,inflow
DC,AZ,171,224,25119,146895.0,inflow
VT,AZ,161,244,9228,57317.0,inflow
TX,AR,7182,13568,492380,68558.0,inflow
CA,AR,3311,6728,262375,79243.0,inflow
MO,AR,3157,5859,165310,52363.0,inflow
OK,AR,2774,5260,129090,46536.0,inflow
TN,AR,1970,3696,116940,59360.0,inflow
FL,AR,1818,3312,110595,60833.0,inflow
LA,AR,1490,2872,88828,59616.0,inflow
CO,AR,1324,2574,105360,79577.0,inflow
IL,AR,1197,2221,91750,76650.0,inflow
AZ,AR,1009,1951,54846,54357.0,inflow
