state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,annual_cost_of_living,median_family_income,col_index,metro_avg_cost,nonmetro_avg_cost,metro_premium,avg_hourly_wage,median_hourly_wage,n_occupations,n_metro_areas,avg_annual_wage,monster_median_salary,monster_job_count,real_wage_gap_bls,real_wage_gap_monster,is_high_cost_state
AK,10211.586206896553,3416.16823862069,10179.611420689655,6252.497131034483,4937.872853793104,0.0,5440.054324137931,40437.78972413793,79776.171875,1.0858,40423.4932,40439.43932307693,-15.946123076930235,27.786206947938737,25.242222222222225,20,3,57795.0,,,17357.210275862068,,True
AL,6414.950820895523,3275.5974985074627,10966.870205373134,5691.5363713432835,3511.26784119403,0.0,5672.986617313433,35533.20936716418,73010.4140625,0.9541,36572.7564,34739.870842105265,1832.8855578947332,21.426416002454804,18.583333333333332,18,13,44567.0,70000.0,20.0,9033.790632835822,34466.79063283582,False
AR,6077.4667584,3008.233088,11104.9119776,4821.90732,3292.1073648,0.0,5123.8432976,33428.47008,58720.07421875,0.8976,34257.81456,33126.89026909091,1130.92429090909,19.98856413663847,18.35571428571429,20,7,41576.0,65000.0,9.0,8147.529920000001,31571.52992,False
AZ,8341.042624,3146.4297759999995,11091.127648,5810.400096,4162.364256,0.0,5573.4533360000005,38124.81784,42365.81640625,1.0237,39016.4817,37105.773428571425,1910.7082714285716,23.018678464424838,20.203333333333333,19,9,47879.0,43680.0,12.0,9754.182159999997,5555.182159999997,True
CA,12793.102367586207,3736.476213103448,11771.155036551723,5686.360988275863,5989.318233103449,0.0,7949.333031724138,47925.74600689655,122820.71875,1.2868,51069.76572972973,42386.282685714286,8683.48304401544,26.867322122058646,24.33895833333333,20,25,55884.0,50960.0,244.0,7958.253993103448,3034.253993103448,True
CO,9675.563255625,3541.3221375,11906.83414125,4162.541073750001,4788.998788125,0.0,6422.12018625,40497.3795375,82814.546875,1.0874,43889.74609411765,39270.353336170214,4619.392757947433,25.622302073104947,23.294444444444444,19,8,53294.0,45000.0,65.0,12796.620462500003,4502.620462500003,True
CT,10921.27005,3748.01403,10441.33512,5222.74497,5315.260065,0.0,7024.429155,42673.053,121937.6484375,1.1458,42834.55714285715,41542.524,1292.0331428571517,28.220547218237876,26.16,21,8,58699.0,67850.0,10.0,16025.947,25176.947,True
DC,16642.2792,4492.42932,5660.73708,4933.47984,7657.93872,0.0,6929.51148,46316.376,116607.390625,1.2436,46316.376,,,31.686319268784953,27.25142857142857,18,1,65908.0,70000.0,19.0,19591.624000000003,23683.624000000003,True
DE,9748.1404,3472.20872,10149.49512,5689.47984,4790.2537999999995,0.0,6627.779399999999,40477.3564,72821.4765625,1.0868,40477.3564,,,24.020393532663057,20.82624125874126,19,2,49962.0,29120.0,7.0,9484.643600000003,-11357.356399999997,True
FL,9123.819462089552,3458.788126567164,10343.896748059702,5398.049018507463,4559.174933731343,0.0,5024.055028656717,37907.78331940299,77956.6328125,1.0179,38454.83506363636,36861.24954782608,1593.5855158102786,22.997715811921683,20.4648,20,22,47835.0,45000.0,162.0,9927.216680597012,7092.216680597012,True
